,Key,Value
1138,field_event.n.01,1
1139,electronic_device.n.01,1
1140,tool.n.01,1
1141,devastation.n.01,1
1142,double.n.03,1
1143,bowl.n.03,1
1144,stabilizer.n.02,1
1145,intellectual.n.01,1
1146,pad.n.01,1
1147,pronunciation.n.01,1
1148,roman_deity.n.01,1
1149,north.n.01,1
1150,polyhedron.n.01,1
1151,aire.n.01,1
1152,preserver.n.03,1
1153,seed.n.01,1
1154,order.n.07,1
1155,order.n.03,1
1156,baby.n.01,1
1157,connective_tissue.n.01,1
1158,television_equipment.n.01,1
1159,dayton.n.01,1
1160,engineering.n.02,1
1161,football.n.01,1
1162,railroad_track.n.01,1
1163,formalwear.n.01,1
1164,housing.n.02,1
1165,elasmobranch.n.01,1
1166,step.n.03,1
1167,camera.n.01,1
1168,instrument.n.01,1
1169,sporting_dog.n.01,1
1170,cincinnati.n.01,1
1171,gymnospermous_tree.n.01,1
1172,bird_of_prey.n.01,1
1173,schedule.n.02,1
1174,ski_tow.n.01,1
1175,bus.n.01,1
1176,roof.n.01,1
1177,capsicum.n.01,1
1178,feed.n.01,1
1179,jazz.n.02,1
1180,command.n.01,1
1181,directory.n.01,1
1182,edible-pod_pea.n.01,1
1183,duplicator.n.01,1
1184,sparta.n.01,1
1185,head.n.04,1
1186,agitation.n.01,1
1187,dressing.n.01,1
1188,writing_board.n.01,1
1189,procession.n.02,1
1190,hand_tool.n.01,1
1191,depository.n.01,1
1192,position.n.03,1
1193,decrease.n.03,1
1194,metric_weight_unit.n.01,1
1195,soldier.n.01,1
1196,pit.n.01,1
1197,single_bed.n.01,1
1198,evidence.n.02,1
1199,winder.n.03,1
1200,robe.n.01,1
1201,water.n.01,1
1202,burger.n.01,1
1203,inferiority.n.01,1
1204,property.n.04,1
1205,macintosh.n.02,1
1206,conic_section.n.01,1
1207,paving_stone.n.01,1
1208,line.n.05,1
1209,slot.n.02,1
1210,group.n.02,1
1211,cocktail.n.01,1
1212,memorial.n.03,1
1213,mobile.n.01,1
1214,junction.n.01,1
1215,sports_equipment.n.01,1
1216,force.n.02,1
1217,capsule.n.05,1
1218,cereal.n.01,1
1219,length.n.01,1
1220,electronic_communication.n.01,1
1221,external-combustion_engine.n.01,1
1222,chest.n.02,1
1223,liquid.n.01,1
1224,mediator.n.01,1
1225,contest.n.01,1
1226,stolen_property.n.01,1
1227,tape_recorder.n.01,1
1228,parachute.n.01,1
1229,conceptualization.n.01,1
1230,bovine.n.01,1
1231,criminal.n.01,1
1232,anomaly.n.02,1
1233,broadcaster.n.01,1
1234,component.n.03,1
1235,subshrub.n.01,1
1236,melbourne.n.01,1
1237,sea_boat.n.01,1
1238,dressing.n.04,1
1239,mistake.n.01,1
1240,gait.n.03,1
1241,eccentric.n.01,1
1242,bud.n.01,1
1243,hood.n.06,1
1244,scientific_instrument.n.01,1
1245,shellfish.n.01,1
1246,shift.n.03,1
1247,course.n.09,1
1248,armor.n.01,1
1249,commoner.n.01,1
1250,radiance.n.02,1
1251,cook.n.01,1
1252,regular_payment.n.01,1
1253,grain.n.10,1
1254,railway.n.01,1
1255,training.n.01,1
1256,work-clothing.n.01,1
1257,slipper.n.01,1
1258,value.n.02,1
1259,fire.n.03,1
1260,mountain.n.01,1
1261,knoll.n.01,1
1262,decoration.n.03,1
1263,submersible.n.02,1
1264,spaghetti_sauce.n.01,1
1265,cookie.n.01,1
1266,plant_tissue.n.01,1
1267,chicken.n.02,1
1268,man's_clothing.n.01,1
1269,carpentry.n.01,1
1270,toy_spaniel.n.01,1
1271,administrative_district.n.01,1
1272,primate.n.02,1
1273,weekday.n.01,1
1274,liner.n.04,1
1275,beacon.n.01,1
1276,weightlift.n.01,1
1277,polymethyl_methacrylate.n.01,1
1278,composition.n.03,1
1279,garden.n.01,1
1280,temperature_change.n.01,1
1281,dandy.n.01,1
1282,fertilizer.n.01,1
1283,circumference.n.01,1
1284,company.n.04,1
1285,pen.n.02,1
1286,shaw.n.01,1
1287,chihuahua.n.01,1
1288,appellation.n.01,1
1289,deer.n.01,1
1290,small_person.n.01,1
1291,rule.n.04,1
1292,shearer.n.01,1
1293,mug.n.04,1
1294,line.n.02,1
1295,nozzle.n.01,1
1296,drink.n.01,1
1297,sherman.n.01,1
1298,message.n.01,1
1299,pad.n.02,1
1300,shell.n.10,1
1301,office.n.01,1
1302,suppressor.n.03,1
1303,section.n.03,1
1304,acquisition.n.02,1
1305,arrangement.n.02,1
1306,raincoat.n.01,1
1307,receiver.n.01,1
1308,visitor.n.01,1
1309,common_bean.n.01,1
1310,attack.n.01,1
1311,program.n.07,1
1312,net.n.05,1
1313,armchair.n.01,1
1314,excerpt.n.01,1
1315,entertainer.n.01,1
1316,idaho.n.01,1
1317,female_offspring.n.01,1
1318,social_control.n.01,1
1319,cube.n.05,1
1320,expedition.n.03,1
1321,wine.n.01,1
1322,discharge.n.01,1
1323,fly.n.01,1
1324,bed.n.03,1
1325,associate.n.01,1
1326,ceramic_ware.n.01,1
1327,carriage.n.02,1
1328,countenance.n.01,1
1329,clerk.n.01,1
1330,automatic_firearm.n.01,1
1331,score.n.10,1
1332,war.n.01,1
1333,cloud.n.02,1
1334,grant.n.02,1
1335,french_bread.n.01,1
1336,bill.n.02,1
1337,government_agent.n.01,1
1338,husk.n.02,1
1339,cabinet.n.01,1
1340,emptiness.n.01,1
1341,commercial_enterprise.n.02,1
1342,electrical_conduction.n.01,1
1343,color_property.n.01,1
1344,deformation.n.02,1
1345,time_off.n.01,1
1346,motion.n.03,1
1347,barn.n.01,1
1348,celebrant.n.01,1
1349,hindrance.n.01,1
1350,monetary_unit.n.01,1
1351,point_of_view.n.01,1
1352,work.n.01,1
1353,santa_fe.n.01,1
1354,deceiver.n.01,1
1355,can.n.01,1
1356,doorway.n.01,1
1357,craft.n.02,1
1358,masonry.n.01,1
1359,blower.n.01,1
1360,prominence.n.01,1
1361,wisconsin.n.02,1
1362,political_unit.n.01,1
1363,wine_bottle.n.01,1
1364,print.n.02,1
1365,digital_computer.n.01,1
1366,vacuum_flask.n.01,1
1367,volatile_storage.n.01,1
1368,wale.n.02,1
1369,clown.n.02,1
1370,acrobatic_stunt.n.01,1
1371,cola.n.02,1
1372,tag.n.01,1
1373,duct.n.03,1
1374,vegetable.n.01,1
1375,domestic_cat.n.01,1
1376,idea.n.01,1
1377,air_travel.n.01,1
1378,forelimb.n.01,1
1379,line.n.20,1
1380,reproductive_organ.n.01,1
1381,ohio.n.01,1
1382,badminton_equipment.n.01,1
1383,death.n.04,1
1384,physical_property.n.01,1
1385,approval.n.04,1
1386,plate.n.12,1
1387,custodian.n.01,1
1388,harassment.n.02,1
1389,mayan.n.01,1
1390,boston.n.01,1
1391,derived_function.n.01,1
1392,paris.n.01,1
1393,card.n.02,1
1394,larva.n.01,1
1395,neckline.n.01,1
1396,chicago.n.01,1
1397,shepherd_dog.n.01,1
1398,dekker.n.01,1
1399,facility.n.04,1
1400,note.n.07,1
1401,workplace.n.01,1
1402,even-toed_ungulate.n.01,1
1403,bishop.n.01,1
1404,sewing.n.02,1
1405,romance.n.03,1
1406,hockey_player.n.01,1
1407,booth.n.02,1
1408,blanket.n.01,1
1409,slide.n.05,1
1410,capri.n.01,1
1411,highway.n.01,1
1412,animal_tissue.n.01,1
1413,passage.n.01,1
1414,folder.n.02,1
1415,spacecraft.n.01,1
1416,mineral.n.01,1
1417,google.n.01,1
1418,aid.n.02,1
1419,information.n.01,1
1420,coinage.n.01,1
1421,time.n.05,1
1422,belt.n.01,1
1423,table_knife.n.01,1
1424,metric_capacity_unit.n.01,1
1425,fiber.n.01,1
1426,angiospermous_tree.n.01,1
1427,peak.n.04,1
1428,age_group.n.01,1
1429,thames.n.01,1
1430,marketplace.n.02,1
1431,failure.n.01,1
1432,jumper.n.02,1
1433,passage.n.03,1
1434,fairy.n.01,1
1435,carbon.n.01,1
1436,tip.n.01,1
1437,detail.n.02,1
1438,vein.n.03,1
1439,walking_stick.n.01,1
1440,parka.n.01,1
1441,hammer.n.07,1
1442,edible_nut.n.01,1
1443,rocket.n.01,1
1444,feature.n.01,1
1445,wardrobe.n.01,1
1446,site.n.01,1
1447,play.n.08,1
1448,fielder.n.01,1
1449,auditory_communication.n.01,1
1450,stool.n.01,1
1451,product.n.02,1
1452,filter.n.01,1
1453,storehouse.n.01,1
1454,hall.n.13,1
1455,odd-toed_ungulate.n.01,1
1456,detroit.n.01,1
1457,parker.n.01,1
1458,theater.n.01,1
1459,punctuation.n.02,1
1460,basketball_player.n.01,1
1461,greeting.n.01,1
1462,protoctist.n.01,1
1463,capital.n.01,1
1464,chemical_process.n.01,1
1465,decision.n.01,1
1466,tactile_property.n.01,1
1467,submission.n.01,1
1468,socialism.n.02,1
1469,utility.n.06,1
1470,application.n.04,1
1471,garden_tool.n.01,1
1472,nazi.n.01,1
1473,drug.n.01,1
1474,dance_band.n.01,1
1475,batholith.n.01,1
1476,electric_heater.n.01,1
1477,pump.n.01,1
1478,decision_making.n.01,1
1479,marsupial.n.01,1
1480,fundamental_quantity.n.01,1
1481,butt.n.09,1
1482,pitcher.n.02,1
1483,priest.n.02,1
1484,wire.n.02,1
1485,contractile_organ.n.01,1
1486,life.n.10,1
1487,sesamoid_bone.n.01,1
1488,insect.n.01,1
1489,writing.n.04,1
1490,hypocrite.n.01,1
1491,disposition.n.01,1
1492,origanum.n.01,1
1493,rope.n.01,1
1494,institution.n.01,1
1495,coin.n.01,1
1496,eubacteria.n.01,1
1497,parachutist.n.01,1
1498,breathing.n.01,1
1499,colloid.n.01,1
